ID,Title,Category Folder,Categories,Price,Primary Image,Secondary Image,Link
2-diningchair,"Adjustable Leather Sofa",diningchair,"Indoor Decoration","₹ 172.30 - ₹ 173.75","https://wdtteapoy.wpengine.com/wp-content/uploads/2024/02/shop-12-02.jpg","https://wdtteapoy.wpengine.com/wp-content/uploads/2024/02/shop-12-01.jpg","https://wdtteapoy.wpengine.com/product/adjustable-leather-sofa/"
3-diningchair,"Adjustable Single Sofa",diningchair,"Office Decoration","₹ 168.85 - ₹ 172.10","https://wdtteapoy.wpengine.com/wp-content/uploads/2024/05/shop-12-01.jpg","https://wdtteapoy.wpengine.com/wp-content/uploads/2024/05/shop-12-02.jpg","https://wdtteapoy.wpengine.com/product/adjustable-single-sofa/"
4-diningchair,"Bamboo Sofa",diningchair,"Home Decoration, Outdoor Decoration","₹ 27.50","https://wdtteapoy.wpengine.com/wp-content/uploads/2024/02/shop-1-01.jpg","https://wdtteapoy.wpengine.com/wp-content/uploads/2024/02/shop-1-02.jpg","https://wdtteapoy.wpengine.com/product/bamboo-sofa/"
5-diningchair,"Ceramic Art Set",diningchair,"Home Decoration","₹ 25.40 - ₹ 26.15","https://wdtteapoy.wpengine.com/wp-content/uploads/2024/05/shop-3-03.jpg","https://wdtteapoy.wpengine.com/wp-content/uploads/2024/05/shop-3-02.jpg","https://wdtteapoy.wpengine.com/product/ceramic-art-set/"
6-diningchair,"Copper Flower Vase",diningchair,"Indoor Decoration","₹ 12.40 - ₹ 15.50","https://wdtteapoy.wpengine.com/wp-content/uploads/2024/03/shop-6-03.jpg","https://wdtteapoy.wpengine.com/wp-content/uploads/2024/03/shop-6-02.jpg","https://wdtteapoy.wpengine.com/product/copper-flower-vase/"
7-diningchair,"Copper Tea Jug Set",diningchair,"Home Decoration, Outdoor Decoration","₹ 32.20 - ₹ 56.15","https://wdtteapoy.wpengine.com/wp-content/uploads/2024/05/shop-11-04-1.jpg","https://wdtteapoy.wpengine.com/wp-content/uploads/2024/05/shop-11-01.jpg","https://wdtteapoy.wpengine.com/product/copper-tea-jug-set/"
8-diningchair,"Creative Bonsai Plant",diningchair,"Office Decoration, Outdoor Decoration","₹ 11.10 - ₹ 11.50","https://wdtteapoy.wpengine.com/wp-content/uploads/2024/05/shop-5-04.jpg","https://wdtteapoy.wpengine.com/wp-content/uploads/2024/05/shop-5-01.jpg","https://wdtteapoy.wpengine.com/product/creative-bonsai-plant/"
9-diningchair,"Elegant Wooden Table",diningchair,"Home Decoration, Outdoor Decoration","₹ 88.20 - ₹ 146.40","https://wdtteapoy.wpengine.com/wp-content/uploads/2024/05/shop-7-01.jpg","https://wdtteapoy.wpengine.com/wp-content/uploads/2024/05/shop-7-02.jpg","https://wdtteapoy.wpengine.com/product/elegant-wooden-table/"
1-loungerdiwaan,"0.5 Watt Night Lamp",loungerdiwaan,"Indoor Decoration","₹ 127.50 - ₹ 168.85","https://wdtteapoy.wpengine.com/wp-content/uploads/2024/03/shop-2-05.jpg","https://wdtteapoy.wpengine.com/wp-content/uploads/2024/03/shop-2-03.jpg","https://wdtteapoy.wpengine.com/product/0-5-watt-night-lamp/"
2-loungerdiwaan,"Adjustable Leather Sofa",loungerdiwaan,"Indoor Decoration","₹ 172.30 - ₹ 173.75","https://wdtteapoy.wpengine.com/wp-content/uploads/2024/02/shop-12-02.jpg","https://wdtteapoy.wpengine.com/wp-content/uploads/2024/02/shop-12-01.jpg","https://wdtteapoy.wpengine.com/product/adjustable-leather-sofa/"
3-loungerdiwaan,"Adjustable Single Sofa",loungerdiwaan,"Office Decoration","₹ 168.85 - ₹ 172.10","https://wdtteapoy.wpengine.com/wp-content/uploads/2024/05/shop-12-01.jpg","https://wdtteapoy.wpengine.com/wp-content/uploads/2024/05/shop-12-02.jpg","https://wdtteapoy.wpengine.com/product/adjustable-single-sofa/"
4-loungerdiwaan,"Bamboo Sofa",loungerdiwaan,"Home Decoration, Outdoor Decoration","₹ 27.50","https://wdtteapoy.wpengine.com/wp-content/uploads/2024/02/shop-1-01.jpg","https://wdtteapoy.wpengine.com/wp-content/uploads/2024/02/shop-1-02.jpg","https://wdtteapoy.wpengine.com/product/bamboo-sofa/"
5-loungerdiwaan,"Ceramic Art Set",loungerdiwaan,"Home Decoration","₹ 25.40 - ₹ 26.15","https://wdtteapoy.wpengine.com/wp-content/uploads/2024/05/shop-3-03.jpg","https://wdtteapoy.wpengine.com/wp-content/uploads/2024/05/shop-3-02.jpg","https://wdtteapoy.wpengine.com/product/ceramic-art-set/"
6-loungerdiwaan,"Copper Flower Vase",loungerdiwaan,"Indoor Decoration","₹ 12.40 - ₹ 15.50","https://wdtteapoy.wpengine.com/wp-content/uploads/2024/03/shop-6-03.jpg","https://wdtteapoy.wpengine.com/wp-content/uploads/2024/03/shop-6-02.jpg","https://wdtteapoy.wpengine.com/product/copper-flower-vase/"
7-loungerdiwaan,"Copper Tea Jug Set",loungerdiwaan,"Home Decoration, Outdoor Decoration","₹ 32.20 - ₹ 56.15","https://wdtteapoy.wpengine.com/wp-content/uploads/2024/05/shop-11-04-1.jpg","https://wdtteapoy.wpengine.com/wp-content/uploads/2024/05/shop-11-01.jpg","https://wdtteapoy.wpengine.com/product/copper-tea-jug-set/"
8-loungerdiwaan,"Creative Bonsai Plant",loungerdiwaan,"Office Decoration, Outdoor Decoration","₹ 11.10 - ₹ 11.50","https://wdtteapoy.wpengine.com/wp-content/uploads/2024/05/shop-5-04.jpg","https://wdtteapoy.wpengine.com/wp-content/uploads/2024/05/shop-5-01.jpg","https://wdtteapoy.wpengine.com/product/creative-bonsai-plant/"
9-loungerdiwaan,"Elegant Wooden Table",loungerdiwaan,"Home Decoration, Outdoor Decoration","₹ 88.20 - ₹ 146.40","https://wdtteapoy.wpengine.com/wp-content/uploads/2024/05/shop-7-01.jpg","https://wdtteapoy.wpengine.com/wp-content/uploads/2024/05/shop-7-02.jpg","https://wdtteapoy.wpengine.com/product/elegant-wooden-table/"
1-loungechair,"0.5 Watt Night Lamp",loungechair,"Indoor Decoration","₹ 127.50 - ₹ 168.85","https://wdtteapoy.wpengine.com/wp-content/uploads/2024/03/shop-2-05.jpg","https://wdtteapoy.wpengine.com/wp-content/uploads/2024/03/shop-2-03.jpg","https://wdtteapoy.wpengine.com/product/0-5-watt-night-lamp/"
2-loungechair,"Adjustable Leather Sofa",loungechair,"Indoor Decoration","₹ 172.30 - ₹ 173.75","https://wdtteapoy.wpengine.com/wp-content/uploads/2024/02/shop-12-02.jpg","https://wdtteapoy.wpengine.com/wp-content/uploads/2024/02/shop-12-01.jpg","https://wdtteapoy.wpengine.com/product/adjustable-leather-sofa/"
3-loungechair,"Adjustable Single Sofa",loungechair,"Office Decoration","₹ 168.85 - ₹ 172.10","https://wdtteapoy.wpengine.com/wp-content/uploads/2024/05/shop-12-01.jpg","https://wdtteapoy.wpengine.com/wp-content/uploads/2024/05/shop-12-02.jpg","https://wdtteapoy.wpengine.com/product/adjustable-single-sofa/"
4-loungechair,"Bamboo Sofa",loungechair,"Home Decoration, Outdoor Decoration","₹ 27.50","https://wdtteapoy.wpengine.com/wp-content/uploads/2024/02/shop-1-01.jpg","https://wdtteapoy.wpengine.com/wp-content/uploads/2024/02/shop-1-02.jpg","https://wdtteapoy.wpengine.com/product/bamboo-sofa/"
5-loungechair,"Ceramic Art Set",loungechair,"Home Decoration","₹ 25.40 - ₹ 26.15","https://wdtteapoy.wpengine.com/wp-content/uploads/2024/05/shop-3-03.jpg","https://wdtteapoy.wpengine.com/wp-content/uploads/2024/05/shop-3-02.jpg","https://wdtteapoy.wpengine.com/product/ceramic-art-set/"
6-loungechair,"Copper Flower Vase",loungechair,"Indoor Decoration","₹ 12.40 - ₹ 15.50","https://wdtteapoy.wpengine.com/wp-content/uploads/2024/03/shop-6-03.jpg","https://wdtteapoy.wpengine.com/wp-content/uploads/2024/03/shop-6-02.jpg","https://wdtteapoy.wpengine.com/product/copper-flower-vase/"
7-loungechair,"Copper Tea Jug Set",loungechair,"Home Decoration, Outdoor Decoration","₹ 32.20 - ₹ 56.15","https://wdtteapoy.wpengine.com/wp-content/uploads/2024/05/shop-11-04-1.jpg","https://wdtteapoy.wpengine.com/wp-content/uploads/2024/05/shop-11-01.jpg","https://wdtteapoy.wpengine.com/product/copper-tea-jug-set/"
8-loungechair,"Creative Bonsai Plant",loungechair,"Office Decoration, Outdoor Decoration","₹ 11.10 - ₹ 11.50","https://wdtteapoy.wpengine.com/wp-content/uploads/2024/05/shop-5-04.jpg","https://wdtteapoy.wpengine.com/wp-content/uploads/2024/05/shop-5-01.jpg","https://wdtteapoy.wpengine.com/product/creative-bonsai-plant/"
9-loungechair,"Elegant Wooden Table",loungechair,"Home Decoration, Outdoor Decoration","₹ 88.20 - ₹ 146.40","https://wdtteapoy.wpengine.com/wp-content/uploads/2024/05/shop-7-01.jpg","https://wdtteapoy.wpengine.com/wp-content/uploads/2024/05/shop-7-02.jpg","https://wdtteapoy.wpengine.com/product/elegant-wooden-table/"
1-sofa,"RR-501",sofa,"sofa","","https://wdtteapoy.wpengine.com/wp-content/uploads/2024/RRimage/sofa/essentials/(1).jpg","","https://wdtteapoy.wpengine.com/#prod1"
2-sofa,"RR-502",sofa,"sofa","","https://wdtteapoy.wpengine.com/wp-content/uploads/2024/RRimage/sofa/essentials/(2).jpg","","https://wdtteapoy.wpengine.com/#prod2"
3-sofa,"RR-503",sofa,"sofa","","https://wdtteapoy.wpengine.com/wp-content/uploads/2024/RRimage/sofa/essentials/(3).jpg","","https://wdtteapoy.wpengine.com/#prod3"
4-sofa,"RR-504",sofa,"sofa","","https://wdtteapoy.wpengine.com/wp-content/uploads/2024/RRimage/sofa/essentials/(4).jpg","","https://wdtteapoy.wpengine.com/#prod4"
5-sofa,"RR-505",sofa,"sofa","","https://wdtteapoy.wpengine.com/wp-content/uploads/2024/RRimage/sofa/essentials/(5).jpg","","https://wdtteapoy.wpengine.com/#prod5"
6-sofa,"RR-506",sofa,"sofa","","https://wdtteapoy.wpengine.com/wp-content/uploads/2024/RRimage/sofa/essentials/(6).jpg","","https://wdtteapoy.wpengine.com/#prod6"
7-sofa,"RR-507",sofa,"sofa","","https://wdtteapoy.wpengine.com/wp-content/uploads/2024/RRimage/sofa/essentials/(7).jpg","","https://wdtteapoy.wpengine.com/#prod7"
8-sofa,"RR-508",sofa,"sofa","","https://wdtteapoy.wpengine.com/wp-content/uploads/2024/RRimage/sofa/essentials/(8).jpg","","https://wdtteapoy.wpengine.com/#prod8"
9-sofa,"RR-509",sofa,"sofa","","https://wdtteapoy.wpengine.com/wp-content/uploads/2024/RRimage/sofa/essentials/(9).jpg","","https://wdtteapoy.wpengine.com/#prod9"
10-sofa,"RR-510",sofa,"sofa","","https://wdtteapoy.wpengine.com/wp-content/uploads/2024/RRimage/sofa/essentials/(10).jpg","","https://wdtteapoy.wpengine.com/#prod10"
11-sofa,"RR-511",sofa,"sofa","","https://wdtteapoy.wpengine.com/wp-content/uploads/2024/RRimage/sofa/essentials/(11).jpg","","https://wdtteapoy.wpengine.com/#prod11"
12-sofa,"RR-512",sofa,"sofa","","https://wdtteapoy.wpengine.com/wp-content/uploads/2024/RRimage/sofa/essentials/(12).jpg","","https://wdtteapoy.wpengine.com/#prod12"
13-sofa,"RR-513",sofa,"sofa","","https://wdtteapoy.wpengine.com/wp-content/uploads/2024/RRimage/sofa/essentials/(13).jpg","","https://wdtteapoy.wpengine.com/#prod13"
14-sofa,"RR-514",sofa,"sofa","","https://wdtteapoy.wpengine.com/wp-content/uploads/2024/RRimage/sofa/essentials/(14).jpg","","https://wdtteapoy.wpengine.com/#prod14"
15-sofa,"RR-515",sofa,"sofa","","https://wdtteapoy.wpengine.com/wp-content/uploads/2024/RRimage/sofa/essentials/(15).jpg","","https://wdtteapoy.wpengine.com/#prod15"
16-sofa,"RR-516",sofa,"sofa","","https://wdtteapoy.wpengine.com/wp-content/uploads/2024/RRimage/sofa/essentials/(16).jpg","","https://wdtteapoy.wpengine.com/#prod16"
17-sofa,"RR-517",sofa,"sofa","","https://wdtteapoy.wpengine.com/wp-content/uploads/2024/RRimage/sofa/essentials/(17).jpg","","https://wdtteapoy.wpengine.com/#prod17"
18-sofa,"RR-518",sofa,"sofa","","https://wdtteapoy.wpengine.com/wp-content/uploads/2024/RRimage/sofa/essentials/(18).jpg","","https://wdtteapoy.wpengine.com/#prod18"
19-sofa,"RR-519",sofa,"sofa","","https://wdtteapoy.wpengine.com/wp-content/uploads/2024/RRimage/sofa/essentials/(19).jpg","","https://wdtteapoy.wpengine.com/#prod19"
20-sofa,"RR-520",sofa,"sofa","","https://wdtteapoy.wpengine.com/wp-content/uploads/2024/RRimage/sofa/essentials/(20).jpg","","https://wdtteapoy.wpengine.com/#prod20"
21-sofa,"RR-521",sofa,"sofa","","https://wdtteapoy.wpengine.com/wp-content/uploads/2024/RRimage/sofa/essentials/(21).jpg","","https://wdtteapoy.wpengine.com/#prod21"
22-sofa,"RR-522",sofa,"sofa","","https://wdtteapoy.wpengine.com/wp-content/uploads/2024/RRimage/sofa/essentials/(22).jpg","","https://wdtteapoy.wpengine.com/#prod22"
23-sofa,"RR-523",sofa,"sofa","","https://wdtteapoy.wpengine.com/wp-content/uploads/2024/RRimage/sofa/essentials/(23).jpg","","https://wdtteapoy.wpengine.com/#prod23"
24-sofa,"RR-524",sofa,"sofa","","https://wdtteapoy.wpengine.com/wp-content/uploads/2024/RRimage/sofa/essentials/(24).jpg","","https://wdtteapoy.wpengine.com/#prod24"
25-sofa,"RR-525",sofa,"sofa","","https://wdtteapoy.wpengine.com/wp-content/uploads/2024/RRimage/sofa/essentials/(25).jpg","","https://wdtteapoy.wpengine.com/#prod25"
26-sofa,"RR-526",sofa,"sofa","","https://wdtteapoy.wpengine.com/wp-content/uploads/2024/RRimage/sofa/essentials/(26).jpg","","https://wdtteapoy.wpengine.com/#prod26"
27-sofa,"RR-527",sofa,"sofa","","https://wdtteapoy.wpengine.com/wp-content/uploads/2024/RRimage/sofa/essentials/(27).jpg","","https://wdtteapoy.wpengine.com/#prod27"
28-sofa,"RR-528",sofa,"sofa","","https://wdtteapoy.wpengine.com/wp-content/uploads/2024/RRimage/sofa/essentials/(1).png","","https://wdtteapoy.wpengine.com/#prod28"
29-sofa,"RR-529",sofa,"sofa","","https://wdtteapoy.wpengine.com/wp-content/uploads/2024/RRimage/sofa/essentials/(2).png","","https://wdtteapoy.wpengine.com/#prod29"
30-sofa,"RR-530",sofa,"sofa","","https://wdtteapoy.wpengine.com/wp-content/uploads/2024/RRimage/sofa/essentials/(3).png","","https://wdtteapoy.wpengine.com/#prod30"
31-sofa,"RR-531",sofa,"sofa","","https://wdtteapoy.wpengine.com/wp-content/uploads/2024/RRimage/sofa/essentials/(4).png","","https://wdtteapoy.wpengine.com/#prod31"
32-sofa,"RR-532",sofa,"sofa","","https://wdtteapoy.wpengine.com/wp-content/uploads/2024/RRimage/sofa/essentials/(5).png","","https://wdtteapoy.wpengine.com/#prod32"
33-sofa,"RR-533",sofa,"sofa","","https://wdtteapoy.wpengine.com/wp-content/uploads/2024/RRimage/sofa/essentials/(6).png","","https://wdtteapoy.wpengine.com/#prod33"
34-sofa,"RR-534",sofa,"sofa","","https://wdtteapoy.wpengine.com/wp-content/uploads/2024/RRimage/sofa/essentials/(7).png","","https://wdtteapoy.wpengine.com/#prod34"
35-sofa,"RR-535",sofa,"sofa","","https://wdtteapoy.wpengine.com/wp-content/uploads/2024/RRimage/sofa/essentials/(8).png","","https://wdtteapoy.wpengine.com/#prod35"
36-sofa,"RR-536",sofa,"sofa","","https://wdtteapoy.wpengine.com/wp-content/uploads/2024/RRimage/sofa/essentials/(9).png","","https://wdtteapoy.wpengine.com/#prod36"
37-sofa,"RR-537",sofa,"sofa","","https://wdtteapoy.wpengine.com/wp-content/uploads/2024/RRimage/sofa/essentials/(10).png","","https://wdtteapoy.wpengine.com/#prod37"
38-sofa,"RR-538",sofa,"sofa","","https://wdtteapoy.wpengine.com/wp-content/uploads/2024/RRimage/sofa/essentials/(11).png","","https://wdtteapoy.wpengine.com/#prod38"
39-sofa,"RR-539",sofa,"sofa","","https://wdtteapoy.wpengine.com/wp-content/uploads/2024/RRimage/sofa/essentials/(12).png","","https://wdtteapoy.wpengine.com/#prod39"
40-sofa,"RR-540",sofa,"sofa","","https://wdtteapoy.wpengine.com/wp-content/uploads/2024/RRimage/sofa/essentials/(13).png","","https://wdtteapoy.wpengine.com/#prod40"
41-sofa,"RR-541",sofa,"sofa","","https://wdtteapoy.wpengine.com/wp-content/uploads/2024/RRimage/sofa/essentials/(14).png","","https://wdtteapoy.wpengine.com/#prod41"
42-sofa,"RR-542",sofa,"sofa","","https://wdtteapoy.wpengine.com/wp-content/uploads/2024/RRimage/sofa/essentials/(15).png","","https://wdtteapoy.wpengine.com/#prod42"
43-sofa,"RR-543",sofa,"sofa","","https://wdtteapoy.wpengine.com/wp-content/uploads/2024/RRimage/sofa/essentials/(16).png","","https://wdtteapoy.wpengine.com/#prod43"
44-sofa,"RR-544",sofa,"sofa","","https://wdtteapoy.wpengine.com/wp-content/uploads/2024/RRimage/sofa/essentials/(17).png","","https://wdtteapoy.wpengine.com/#prod44"
45-sofa,"RR-545",sofa,"sofa","","https://wdtteapoy.wpengine.com/wp-content/uploads/2024/RRimage/sofa/essentials/(18).png","","https://wdtteapoy.wpengine.com/#prod45"
46-sofa,"RR-546",sofa,"sofa","","https://wdtteapoy.wpengine.com/wp-content/uploads/2024/RRimage/sofa/essentials/(19).png","","https://wdtteapoy.wpengine.com/#prod46"
47-sofa,"RR-547",sofa,"sofa","","https://wdtteapoy.wpengine.com/wp-content/uploads/2024/RRimage/sofa/essentials/(20).png","","https://wdtteapoy.wpengine.com/#prod47"
48-sofa,"RR-548",sofa,"sofa","","https://wdtteapoy.wpengine.com/wp-content/uploads/2024/RRimage/sofa/essentials/(21).png","","https://wdtteapoy.wpengine.com/#prod48"
49-sofa,"RR-549",sofa,"sofa","","https://wdtteapoy.wpengine.com/wp-content/uploads/2024/RRimage/sofa/essentials/(22).png","","https://wdtteapoy.wpengine.com/#prod49"
50-sofa,"RR-550",sofa,"sofa","","https://wdtteapoy.wpengine.com/wp-content/uploads/2024/RRimage/sofa/essentials/(23).png","","https://wdtteapoy.wpengine.com/#prod50"
51-sofa,"RR-551",sofa,"sofa","","https://wdtteapoy.wpengine.com/wp-content/uploads/2024/RRimage/sofa/essentials/(24).png","","https://wdtteapoy.wpengine.com/#prod51"
52-sofa,"RR-552",sofa,"sofa","","https://wdtteapoy.wpengine.com/wp-content/uploads/2024/RRimage/sofa/essentials/(25).png","","https://wdtteapoy.wpengine.com/#prod52"
53-sofa,"RR-551",sofa,"sofa","","https://wdtteapoy.wpengine.com/wp-content/uploads/2024/RRimage/sofa/prime/%20(1).jpg","","https://wdtteapoy.wpengine.com/#prod551"
54-sofa,"RR-552",sofa,"sofa","","https://wdtteapoy.wpengine.com/wp-content/uploads/2024/RRimage/sofa/prime/%20(2).jpg","","https://wdtteapoy.wpengine.com/#prod552"
55-sofa,"RR-553",sofa,"sofa","","https://wdtteapoy.wpengine.com/wp-content/uploads/2024/RRimage/sofa/prime/%20(3).jpg","","https://wdtteapoy.wpengine.com/#prod553"
56-sofa,"RR-554",sofa,"sofa","","https://wdtteapoy.wpengine.com/wp-content/uploads/2024/RRimage/sofa/prime/%20(4).jpg","","https://wdtteapoy.wpengine.com/#prod554"
57-sofa,"RR-555",sofa,"sofa","","https://wdtteapoy.wpengine.com/wp-content/uploads/2024/RRimage/sofa/prime/%20(5).jpg","","https://wdtteapoy.wpengine.com/#prod555"
58-sofa,"RR-556",sofa,"sofa","","https://wdtteapoy.wpengine.com/wp-content/uploads/2024/RRimage/sofa/prime/%20(6).png","","https://wdtteapoy.wpengine.com/#prod556"
59-sofa,"RR-557",sofa,"sofa","","https://wdtteapoy.wpengine.com/wp-content/uploads/2024/RRimage/sofa/prime/%20(7).jpg","","https://wdtteapoy.wpengine.com/#prod557"
60-sofa,"RR-558",sofa,"sofa","","https://wdtteapoy.wpengine.com/wp-content/uploads/2024/RRimage/sofa/prime/%20(8).jpg","","https://wdtteapoy.wpengine.com/#prod558"
61-sofa,"RR-559",sofa,"sofa","","https://wdtteapoy.wpengine.com/wp-content/uploads/2024/RRimage/sofa/prime/%20(9).jpg","","https://wdtteapoy.wpengine.com/#prod559"
62-sofa,"RR-560",sofa,"sofa","","https://wdtteapoy.wpengine.com/wp-content/uploads/2024/RRimage/sofa/prime/%20(10).jpg","","https://wdtteapoy.wpengine.com/#prod560"
63-sofa,"RR-561",sofa,"sofa","","https://wdtteapoy.wpengine.com/wp-content/uploads/2024/RRimage/sofa/prime/%20(11).jpg","","https://wdtteapoy.wpengine.com/#prod561"
64-sofa,"RR-562",sofa,"sofa","","https://wdtteapoy.wpengine.com/wp-content/uploads/2024/RRimage/sofa/prime/%20(12).jpg","","https://wdtteapoy.wpengine.com/#prod562"
65-sofa,"RR-563",sofa,"sofa","","https://wdtteapoy.wpengine.com/wp-content/uploads/2024/RRimage/sofa/prime/%20(13).jpg","","https://wdtteapoy.wpengine.com/#prod563"
66-sofa,"RR-564",sofa,"sofa","","https://wdtteapoy.wpengine.com/wp-content/uploads/2024/RRimage/sofa/prime/%20(14).jpg","","https://wdtteapoy.wpengine.com/#prod564"
67-sofa,"RR-565",sofa,"sofa","","https://wdtteapoy.wpengine.com/wp-content/uploads/2024/RRimage/sofa/prime/%20(15).jpg","","https://wdtteapoy.wpengine.com/#prod565"
68-sofa,"RR-566",sofa,"sofa","","https://wdtteapoy.wpengine.com/wp-content/uploads/2024/RRimage/sofa/prime/%20(16).jpg","","https://wdtteapoy.wpengine.com/#prod566"
69-sofa,"RR-567",sofa,"sofa","","https://wdtteapoy.wpengine.com/wp-content/uploads/2024/RRimage/sofa/prime/%20(17).jpg","","https://wdtteapoy.wpengine.com/#prod567"
70-sofa,"RR-568",sofa,"sofa","","https://wdtteapoy.wpengine.com/wp-content/uploads/2024/RRimage/sofa/prime/%20(18).jpg","","https://wdtteapoy.wpengine.com/#prod568"
71-sofa,"RR-569",sofa,"sofa","","https://wdtteapoy.wpengine.com/wp-content/uploads/2024/RRimage/sofa/prime/%20(19).jpg","","https://wdtteapoy.wpengine.com/#prod569"
72-sofa,"RR-570",sofa,"sofa","","https://wdtteapoy.wpengine.com/wp-content/uploads/2024/RRimage/sofa/prime/%20(20).jpg","","https://wdtteapoy.wpengine.com/#prod570"
73-sofa,"RR-571",sofa,"sofa","","https://wdtteapoy.wpengine.com/wp-content/uploads/2024/RRimage/sofa/prime/%20(21).jpg","","https://wdtteapoy.wpengine.com/#prod571"
74-sofa,"RR-572",sofa,"sofa","","https://wdtteapoy.wpengine.com/wp-content/uploads/2024/RRimage/sofa/prime/%20(22).jpg","","https://wdtteapoy.wpengine.com/#prod572"
75-sofa,"RR-573",sofa,"sofa","","https://wdtteapoy.wpengine.com/wp-content/uploads/2024/RRimage/sofa/prime/%20(23).jpg","","https://wdtteapoy.wpengine.com/#prod573"
76-sofa,"RR-574",sofa,"sofa","","https://wdtteapoy.wpengine.com/wp-content/uploads/2024/RRimage/sofa/prime/%20(24).jpg","","https://wdtteapoy.wpengine.com/#prod574"
77-sofa,"RR-575",sofa,"sofa","","https://wdtteapoy.wpengine.com/wp-content/uploads/2024/RRimage/sofa/prime/%20(25).jpg","","https://wdtteapoy.wpengine.com/#prod575"
78-sofa,"RR-576",sofa,"sofa","","https://wdtteapoy.wpengine.com/wp-content/uploads/2024/RRimage/sofa/prime/%20(26).jpg","","https://wdtteapoy.wpengine.com/#prod576"
79-sofa,"RR-577",sofa,"sofa","","https://wdtteapoy.wpengine.com/wp-content/uploads/2024/RRimage/sofa/prime/%20(27).jpg","","https://wdtteapoy.wpengine.com/#prod577"
80-sofa,"RR-578",sofa,"sofa","","https://wdtteapoy.wpengine.com/wp-content/uploads/2024/RRimage/sofa/prime/%20(28).jpg","","https://wdtteapoy.wpengine.com/#prod578"
81-sofa,"RR-579",sofa,"sofa","","https://wdtteapoy.wpengine.com/wp-content/uploads/2024/RRimage/sofa/prime/%20(29).jpg","","https://wdtteapoy.wpengine.com/#prod579"
